class,object,posX,posY,posZ,rotX,rotY,rotZ,scale
createReference,command_center,1499.616,1844.04,1146.048,301.0,0.933,0.0,0.0
createReference,command_center,17422.368,17023.08,1414.272,120.0,0.75,0.0,0.0
createObject,birch_tree,603.504,3112.0080000000003,1109.472,338.0,0.984,0.0,0.0
createObject,birch_tree,2983.992,4468.368,1033.272,209.0,1.103,0.0,0.0
createObject,birch_tree,4953.0,3904.488,661.416,176.0,1.105,0.0,0.0
createObject,redwood_tree,1149.096,8269.224,-48.768,288.0,2.198,0.0,0.0
createObject,oak_tree,11167.872,15803.880000000001,1252.728,260.0,1.116,0.0,0.0
createObject,oak_tree,12664.44,9979.152,731.52,327.0,1.048,0.0,0.0
createObject,pinetree,11073.384,8159.496,1423.416,268.0,1.324,0.0,0.0
createObject,pinetree,8058.912,8906.256,1335.0240000000001,275.0,1.13,0.0,0.0
createObject,pinetree,7339.584,8119.872,429.76800000000003,99.0,1.082,0.0,0.0
createObject,pinetree,5312.664,9256.776,637.032,171.0,0.86,0.0,0.0
createObject,pinetree,2758.44,12408.408,1386.84,235.0,0.923,0.0,0.0
createObject,pinetree,15111.984,8189.976000000001,1057.656,221.0,0.842,0.0,0.0
createObject,pinetree,16666.464,1283.208,33.528,51.0,0.809,0.0,0.0
createObject,pinetree,17169.384000000002,4002.024,6.096,51.0,1.052,0.0,0.0
createObject,pinetree,17571.72,4547.616,64.008,140.0,0.911,0.0,0.0
createObject,oak_tree,10905.744,16501.872,1295.4,253.0,2.33,0.0,0.0
createObject,birch_tree_maroon,8695.944,13127.736,435.86400000000003,303.0,1.204,0.0,0.0
createObject,birch_tree_maroon,10994.136,13316.712,225.552,52.0,1.08,0.0,0.0
createObject,birch_tree,18470.88,15529.56,1837.944,287.0,1.255,0.0,0.0
createObject,birch_tree,11999.976,1173.48,131.064,339.0,1.129,0.0,0.0
createObject,fence,1109.472,6233.16,1066.8,182.0,1.315,0.0,0.0
createObject,fence,2179.32,6068.568,829.056,163.0,1.406,0.0,0.0
createObject,fence,2956.56,5385.816,923.544,296.0,1.239,0.0,0.0
createObject,fence,17998.44,14353.032000000001,1466.088,189.0,1.183,0.0,0.0
createObject,fence,16986.504,14316.456,1441.704,357.0,1.079,0.0,0.0
createObject,fence,16093.44,14487.144,1456.944,163.0,1.151,0.0,0.0
createObject,oak_tree,8686.8,3105.9120000000003,1085.088,353.0,1.232,0.0,0.0
