class,object,posX,posY,posZ,rotX,rotY,rotZ,scale
createReference,redstone_mine,13487.4,1935.48,0.0,289.0,1.04,0.0,0.0
createReference,redstone_mine,2636.52,12761.976,-79.248,92.0,1.0,0.0,0.0
createObject,pinetree,9509.76,4910.328,73.152,165.0,0.83,0.0,0.0
createObject,pinetree,9799.32,7626.0960000000005,335.28000000000003,170.0,0.68,0.0,0.0
createObject,pinetree,5635.752,1072.896,219.45600000000002,90.0,0.54,0.0,0.0
createObject,pinetree,5452.872,1289.304,-713.232,263.0,1.0,0.0,0.0
createObject,pinetree,3703.32,1185.672,213.36,310.0,1.0,0.0,0.0
createObject,pinetree,16276.32,9598.152,2151.888,281.0,1.0,0.0,0.0
createObject,pinetree,15727.68,7973.568,1588.008,33.0,0.5,0.0,0.0
createObject,pinetree,14670.024,8205.216,1164.336,218.0,0.45,0.0,0.0
createObject,pinetree,14039.088,7924.8,402.336,180.0,0.63,0.0,0.0
createObject,pinetree,17047.464,1685.544,877.8240000000001,303.0,0.62,0.0,0.0
createObject,pinetree,15563.088,1423.416,79.248,242.0,1.0,0.0,0.0
createObject,pinetree,16971.264,3441.192,545.592,184.0,0.59,0.0,0.0
createObject,pinetree,12947.904,1246.632,0.0,238.0,1.0,0.0,0.0
createObject,pinetree,3444.2400000000002,17541.24,1139.952,10.0,1.0,0.0,0.0
createObject,pinetree,2148.84,17349.216,1149.096,60.0,1.0,0.0,0.0
createObject,pinetree,1322.832,16754.856,978.408,2.0,1.46,0.0,0.0
createObject,pinetree,1517.904,13499.592,-48.768,217.0,1.0,0.0,0.0
createObject,pinetree,4715.256,15508.224,-18.288,211.0,1.0,0.0,0.0
createObject,pinetree,3764.28,16980.408,243.84,270.0,1.0,0.0,0.0
createObject,pinetree,8391.144,17111.472,1591.056,151.0,1.0,0.0,0.0
createObject,pinetree,10491.216,17187.672,1645.92,238.0,1.41,0.0,0.0
createObject,pinetree,6275.832,17096.232,1472.184,94.0,1.0,0.0,0.0
createObject,pinetree,9540.24,16093.44,265.176,150.0,0.88,0.0,0.0
createObject,pinetree,5632.704,9558.528,237.744,55.0,1.0,0.0,0.0
createObject,pinetree,14843.76,16303.752,652.272,39.0,0.57,0.0,0.0
createObject,pinetree,15502.128,13627.608,505.968,340.0,1.0,0.0,0.0
createObject,pinetree,13965.936,16687.8,1365.504,92.0,0.84,0.0,0.0
createObject,pinetree,8884.92,11591.544,307.848,68.0,1.0,0.0,0.0
createObject,pinetree,7973.568,11625.072,292.608,186.0,1.0,0.0,0.0
createObject,pinetree,11640.312,1082.04,192.024,42.0,0.38,0.0,0.0
createObject,pinetree,2727.96,9314.688,856.488,269.0,0.57,0.0,0.0
createObject,pinetree,8357.616,6336.792,158.496,170.0,0.66,0.0,0.0
createObject,pinetree,9796.272,6019.8,213.36,337.0,0.825,0.0,0.0
createObject,rope_bridge02,9796.272,10341.864,128.016,72.0,1.653,0.0,0.0
createObject,pinetree,11314.176,9247.632,332.232,57.0,0.471,0.0,0.0
createObject,pinetree,1188.72,5660.136,1048.512,200.0,0.983,0.0,0.0
createObject,pinetree,701.04,4983.4800000000005,1432.56,313.0,0.583,0.0,0.0
createObject,pinetree,2048.256,6556.2480000000005,993.648,200.0,0.803,0.0,0.0
createObject,pinetree,11743.944,768.096,554.736,52.0,0.631,0.0,0.0
createObject,waterfall,14996.16,12536.424,-182.88,57.0,0.633,0.0,0.0
createObject,pinetree,7053.072,2618.232,472.44,71.0,0.425,0.0,0.0
createObject,pinetree,5495.544,3255.264,344.424,98.0,0.931,0.0,0.0
createObject,pinetree,2194.56,3355.848,146.304,307.0,1.008,0.0,0.0
createObject,pinetree,6979.92,807.72,390.144,17.0,0.558,0.0,0.0
createObject,pinetree,7534.656,1740.4080000000001,137.16,300.0,0.488,0.0,0.0
createObject,pinetree,11667.744,17291.304,2069.592,52.0,0.971,0.0,0.0
createObject,pinetree,12929.616,17129.760000000002,2115.312,51.0,0.976,0.0,0.0
createObject,pinetree,12268.2,16611.6,1338.0720000000001,198.0,0.826,0.0,0.0
createObject,oak_tree,6181.344,12405.36,21.336,79.0,0.549,0.0,0.0
createObject,oak_tree,5315.712,16776.192,527.304,12.0,0.909,0.0,0.0
createObject,oak_tree,5507.736,16453.104,396.24,58.0,0.886,0.0,0.0
createObject,oak_tree,6141.72,16529.304,929.64,182.0,0.904,0.0,0.0
createObject,oak_tree,8464.296,14465.808,51.816,210.0,0.872,0.0,0.0
createObject,redwood_tree,5175.504,8805.672,-21.336,197.0,2.2,0.0,0.0
createObject,redwood_tree,4099.56,16331.184000000001,-67.056,132.0,2.44,0.0,0.0
createObject,redwood_tree,12524.232,15374.112000000001,-149.352,254.0,2.41,0.0,0.0
createObject,redwood_tree,15035.784,14130.528,-240.792,22.0,2.34,0.0,0.0
createObject,redwood_tree,6281.928,10503.408,-24.384,101.0,2.19,0.0,0.0
createObject,redwood_tree,16145.256,4675.6320000000005,-85.344,321.0,1.9,0.0,0.0
createObject,redwood_tree,4242.816,1255.776,121.92,34.0,2.3,0.0,0.0
createObject,oak_tree,16328.136,5285.232,-70.104,22.0,1.049,0.0,0.0
createObject,oak_tree,15544.800000000001,5315.712,-100.584,244.0,2.017,0.0,0.0
createObject,oak_tree,15075.408,5660.136,-42.672,177.0,0.655,0.0,0.0
createObject,oak_tree,16535.4,5401.0560000000005,-60.96,319.0,0.749,0.0,0.0
