class,object,posX,posY,posZ,rotX,rotY,rotZ,scale
createReference,command_center,2112.264,2255.52,-21.336,272.0,0.75,0.0,0.0
createReference,command_center,16690.848,16611.6,-6.096,91.0,0.75,0.0,0.0
createReference,redstone_mine,16230.6,15346.68,-12.192,174.0,0.75,0.0,0.0
createReference,redstone_mine,2301.2400000000002,3590.544,6.096,348.0,0.75,0.0,0.0
createReference,redstone_mine,2642.616,16486.632,850.392,287.0,0.75,0.0,0.0
createReference,redstone_mine,17099.28,2267.712,838.2,279.0,0.75,0.0,0.0
createObject,pinetree,5227.32,4980.432,82.296,52.0,1.089,0.0,0.0
createObject,pinetree,1338.0720000000001,6879.336,1456.944,313.0,1.065,0.0,0.0
createObject,pinetree,1121.664,5096.256,21.336,132.0,0.842,0.0,0.0
createObject,pinetree,2816.352,5843.0160000000005,27.432000000000002,95.0,0.916,0.0,0.0
createObject,pinetree,4002.024,8196.072,-39.624,309.0,1.224,0.0,0.0
createObject,pinetree,1990.344,12819.888,2289.0480000000002,244.0,1.454,0.0,0.0
createObject,pinetree,5708.904,9802.368,1789.176,153.0,0.61,0.0,0.0
createObject,pinetree,6077.712,7626.0960000000005,1197.864,176.0,0.744,0.0,0.0
createObject,pinetree,6976.872,2999.232,219.45600000000002,48.0,1.096,0.0,0.0
createObject,redwood_tree,6376.416,4349.496,-39.624,211.0,2.28,0.0,0.0
createObject,redwood_tree,1033.272,4212.336,6.096,29.0,1.923,0.0,0.0
createObject,redwood_tree,5321.808,1545.336,-24.384,89.0,1.865,0.0,0.0
createObject,redwood_tree,2164.08,8403.336,-6.096,16.0,2.469,0.0,0.0
createObject,birch_tree,1417.32,5544.312,15.24,92.0,0.51,0.0,0.0
createObject,birch_tree,1755.6480000000001,5964.936,100.584,201.0,1.13,0.0,0.0
createObject,birch_tree,2179.32,5955.792,188.976,117.0,0.758,0.0,0.0
createObject,birch_tree,1834.896,5074.92,33.528,177.0,0.618,0.0,0.0
createObject,birch_tree,7156.704,4261.104,118.872,356.0,0.69,0.0,0.0
createObject,birch_tree,7595.616,2078.736,1301.496,172.0,1.121,0.0,0.0
createObject,birch_tree,7525.512,1164.336,1792.224,47.0,0.831,0.0,0.0
createObject,pinetree,393.192,481.584,1874.52,91.0,0.518,0.0,0.0
createObject,pinetree,1502.664,890.016,146.304,267.0,1.286,0.0,0.0
createObject,pinetree,3697.224,524.256,798.576,89.0,0.69,0.0,0.0
createObject,pinetree,1569.72,5812.536,3.048,163.0,0.548,0.0,0.0
createObject,pinetree,6976.872,941.832,1112.52,47.0,0.979,0.0,0.0
createObject,waterfallrapids,6397.752,1828.8,36.576,66.0,1.223,0.0,0.0
createObject,waterfallrapids,5766.816,2039.112,33.528,59.0,1.0,0.0,0.0
